Lecture,Question,Option A,Option B,Option C,Option D,Correct Answer,Rationale
Lecture 7: Heart Disease and Anemia,What is the most common site affected in rheumatic heart disease?,Aortic valve,Pulmonary valve,Mitral valve,Tricuspid valve,C,"The mitral valve is the most frequently affected site in rheumatic heart disease, often leading to mitral stenosis."
Lecture 7: Heart Disease and Anemia,Rheumatic heart disease commonly develops as a complication of:,Tuberculosis,Pneumonia,Streptococcal pharyngitis,Influenza,C,RHD is an autoimmune consequence of untreated Group A streptococcal pharyngitis.
Lecture 7: Heart Disease and Anemia,Which of the following is a sign of heart failure during pregnancy?,Bradycardia,Dyspnea on exertion,Polyuria,Hypotension,B,"Dyspnea on exertion indicates pulmonary congestion, a classic sign of heart failure."
Lecture 7: Heart Disease and Anemia,The NYHA classification system is used to assess:,Fetal growth,Severity of anemia,Effect of activity on the heart,Renal function,C,The New York Heart Association (NYHA) classifies heart failure based on symptom severity during physical activity.
Lecture 7: Heart Disease and Anemia,Which anticoagulant does NOT cross the placenta?,Warfarin,Heparin,Aspirin,Clopidogrel,B,"Heparin has a large molecular weight and does not cross the placenta, making it safe for the fetus."
Lecture 7: Heart Disease and Anemia,A pregnant woman with iron deficiency anemia craves eating ice and clay. This condition is called:,Dysphagia,Hyperemesis,Pica,Anorexia,C,"Pica is the intense craving for non-food items like ice or clay, strongly associated with severe iron deficiency."
Lecture 8: Physiology of Labor,The first stage of labor begins with:,Rupture of membranes,Regular uterine contractions with cervical changes,Full cervical dilatation,Delivery of the fetus,B,True labor begins with regular uterine contractions that cause progressive cervical dilation and effacement.
Lecture 8: Physiology of Labor,The active phase of labor starts when cervical dilatation reaches:,2 cm,3 cm,4 cm,8 cm,C,The active phase is traditionally considered to begin at 4 cm of cervical dilation.
Lecture 8: Physiology of Labor,Normal cervical dilatation during the first stage of labor is approximately:,2-3 cm/hour,0.5-1 cm/hour,3-4 cm/hour,4-5 cm/hour,B,Normal progress in the active phase is roughly 0.5 to 1.5 cm/hour depending on parity.
Lecture 8: Physiology of Labor,Effacement refers to:,Rupture of membranes,Descent of fetus,Inclusion of the cervical canal into the lower uterine segment,Placental separation,C,Effacement is the thinning and shortening of the cervix as it merges into the lower uterine segment.
Lecture 8: Physiology of Labor,The normal duration of the third stage of labor is usually:,1-3 minutes,5-15 minutes,20-30 minutes,More than 2 hours,B,The placenta typically separates and is expelled within 5 to 15 minutes after the baby is born.
Lecture 9: Nursing Care During Labor,The progress of labor is recorded using:,CTG,Ultrasound,Partograph/Partogram,Apgar score,C,A partograph is a graphical tool used to chart maternal and fetal data against time to monitor labor progress.
Lecture 9: Nursing Care During Labor,A reassuring CTG baseline fetal heart rate is:,90-120 bpm,110-160 bpm,160-190 bpm,80-100 bpm,B,The normal reassuring baseline fetal heart rate for a term fetus is between 110 and 160 beats per minute.
Lecture 9: Nursing Care During Labor,Cord clamping should be delayed for:,Immediately after birth,30 seconds,1-3 minutes,10 minutes,C,Delayed cord clamping for 1-3 minutes improves infant iron stores and reduces the risk of anemia.
Lecture 9: Nursing Care During Labor,The main aim of prophylactic oxytocin administration is to reduce:,Hypertension,Infection,Postpartum hemorrhage,Fetal distress,C,"Oxytocin promotes strong uterine contractions in the third stage, which compresses blood vessels and significantly reduces the risk of PPH."
Lecture 9: Nursing Care During Labor,Which of the following is a sign of placental separation?,Soft uterus,Shortening of umbilical cord,Lengthening of the umbilical cord,Decreased vaginal bleeding,C,"As the placenta detaches and descends, the exposed portion of the umbilical cord lengthens."
Lecture 10: Abnormal Labor,Hypertonic uterine dysfunction occurs when:,The uterus relaxes too much,The uterus never fully relaxes between contractions,Contractions stop completely,Labor lasts less than 3 hours,B,"In hypertonic dysfunction, resting uterine tone is elevated, and the uterus does not fully relax between contractions, impeding blood flow."
Lecture 10: Abnormal Labor,Face presentation occurs when there is:,Full flexion of the fetal head,Complete extension of the fetal head,Partial flexion of the fetal head,Transverse lie,B,Face presentation involves the complete hyperextension of the fetal head and neck.
Lecture 10: Abnormal Labor,McRobert's maneuver is used to relieve:,Breech presentation,Face presentation,Shoulder dystocia,Placenta previa,C,McRobert's maneuver involves hyperflexion of the mother's legs to her abdomen to widen the pelvic outlet and resolve shoulder dystocia.
Lecture 11: Physiologic Changes Postpartum,The puerperium period lasts approximately:,2 weeks,4 weeks,6 weeks,8 weeks,C,"The puerperium (postpartum period) generally lasts 6 weeks, during which maternal anatomy and physiology return to the pre-pregnant state."
Lecture 11: Physiologic Changes Postpartum,Lochia serosa is characterized by discharge that is:,Bright red,Pinkish brown,Creamy white,Dark brown,B,Lochia serosa occurs after lochia rubra and consists of a pinkish-brown serous exudate.
Lecture 11: Physiologic Changes Postpartum,Urinary retention is a major cause of:,Placenta previa,Endometritis,Uterine atony,Preeclampsia,C,"A distended bladder displaces the uterus, preventing it from contracting firmly, which leads to uterine atony and hemorrhage."
Lecture 12: Care During Puerperium & Newborn,"If the uterus is boggy after delivery, the nurse should:",Encourage ambulation only,Administer antibiotics,Massage the fundus,Place the mother in Trendelenburg position,C,Massaging a boggy (atonic) uterus stimulates muscular contractions to compress blood vessels and control bleeding.
Lecture 12: Care During Puerperium & Newborn,The acronym REEDA is used to assess:,Breastfeeding success,Newborn adaptation,Episiotomy or perineal laceration,Uterine involution,C,"REEDA stands for Redness, Edema, Ecchymosis, Discharge, and Approximation, which are used to evaluate perineal healing."
Lecture 12: Care During Puerperium & Newborn,Which APGAR component assesses heart rate?,Appearance,Pulse,Grimace,Respiratory effort,B,"In the APGAR score, 'P' stands for Pulse, which measures the infant's heart rate."
Lecture 13: Postpartum Complications,Postpartum hemorrhage (PPH) after vaginal birth is defined as blood loss greater than:,250 mL,400 mL,500 mL,1000 mL,C,Traditional criteria define PPH as blood loss >500 mL after a vaginal delivery.
Lecture 13: Postpartum Complications,The appropriate intervention for uterine atony is:,Surgical repair,Massage and oxytocics,Blood products,Bed rest only,B,Initial management for uterine atony includes fundal massage and administering uterotonic drugs like oxytocin.
Lecture 13: Postpartum Complications,"Unlike postpartum blues, postpartum depression:",Resolves spontaneously,Does not affect mood,Worsens over time and does not go away on its own,Lasts only 2 days,C,"Postpartum depression is a severe, persistent mood disorder that requires medical intervention, unlike self-limiting postpartum blues."
Lecture 14: Gynecological Care of Women,Amenorrhea is defined as:,Painful menstruation,Heavy menstrual bleeding,Absence of menses or menstrual bleeding,Irregular menstruation,C,Amenorrhea strictly refers to the abnormal absence of menstruation.
Lecture 14: Gynecological Care of Women,The three classic features of PCOS are:,"Amenorrhea, infertility, diabetes","Hirsutism, irregular menstrual cycles, and obesity","Pelvic pain, dyspareunia, infertility","Acne, headache, hypertension",B,"PCOS typically presents with hyperandrogenism (e.g., hirsutism), anovulation (irregular cycles), and metabolic issues like obesity."
Lecture 14: Gynecological Care of Women,The gold standard for diagnosis of bacterial vaginosis is:,Ultrasound,Culture,Gram stain with Nugent scoring system,CBC,C,"The Nugent score, derived from evaluating vaginal swabs under a Gram stain, is the definitive diagnostic test for Bacterial Vaginosis."
Lecture 15: Women's Health In Late Stage of Life,The conclusion of the late menopausal transition phase is marked by:,First hot flash,Elevated FSH,Final menstrual period (FMP),Vaginal atrophy,C,The final menstrual period (FMP) officially concludes the transition phase into menopause.
Lecture 15: Women's Health In Late Stage of Life,At least half of postmenopausal women experience:,Osteoporosis,Depression,Genitourinary syndrome symptoms,Heart disease,C,"Genitourinary syndrome of menopause (vaginal dryness, atrophy, dyspareunia, urinary issues) affects over 50% of postmenopausal women."
Lecture 15: Women's Health In Late Stage of Life,The most effective treatment for vasomotor symptoms and vaginal atrophy is:,Antibiotics,Exercise only,Hormone therapy (HT),Surgery,C,Hormone replacement therapy is the gold standard and most effective treatment for severe menopausal vasomotor symptoms and vaginal atrophy.
